country,2019,2020
Austria,1.6,-6.7
Belgium,1.4,-8.3
Bolivia,2.2,-7.9
Brazil,1.1,-5.8
Chile,1.1,-6
Colombia,3.3,-8.2
Czech Republic,2.3,-6.5
Denmark,2.3,-4.5
Ecuador,0.1,-11
Finland,1.1,-4
France,1.5,-9.8
Germany,0.6,-6
Hungary,4.9,-6.1
India,4.2,-10.3
Indonesia,5,-1.5
Ireland,5.9,-3
Israel,3.4,-5.9
Italy,0.3,-10.6
Japan,0.7,-5.3
South Korea,2,-1.9
Mexico,-0.3,-9
Netherlands,1.7,-5.4
Norway,1.2,-2.8
Peru,2.2,-13.9
Poland,4.1,-3.6
Portugal,2.2,-10
Russia,1.3,-4.1
South Africa,0.2,-8
Spain,2,-12.8
Sweden,1.3,-4.7
Switzerland,1.2,-5.3
Thailand,2.4,-7.1
Turkey,0.9,-5
United Kingdom,1.5,-9.8
United States,2.2,-4.3